Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,11374.110352,11495.690430,11349.940430,11472.219727,11472.219727,100043500
2018-11-14,11394.750000,11566.790039,11314.599609,11412.530273,11412.530273,106400600
2018-11-15,11447.839844,11500.660156,11254.919922,11353.669922,11353.669922,96865000
2018-11-16,11425.799805,11448.559570,11233.209961,11341.000000,11341.000000,113018300
2018-11-19,11384.000000,11419.549805,11231.589844,11244.540039,11244.540039,78718200
2018-11-20,11157.650391,11187.160156,11009.250000,11066.410156,11066.410156,119967800
2018-11-21,11138.250000,11257.830078,11113.339844,11244.169922,11244.169922,92605400
2018-11-22,11216.290039,11221.769531,11119.040039,11138.490234,11138.490234,64564400
2018-11-23,11146.549805,11205.990234,11093.519531,11192.690430,11192.690430,63011900
2018-11-26,11315.900391,11390.929688,11301.820313,11354.719727,11354.719727,89434600
2018-11-27,11380.790039,11400.049805,11264.650391,11309.110352,11309.110352,75453200
2018-11-28,11355.799805,11358.799805,11279.459961,11298.879883,11298.879883,72950500
2018-11-29,11377.209961,11403.719727,11275.700195,11298.230469,11298.230469,92388200
2018-11-30,11311.660156,11315.299805,11208.599609,11257.240234,11257.240234,109013100
2018-12-03,11534.750000,11566.969727,11457.610352,11465.459961,11465.459961,101248500
2018-12-04,11429.820313,11442.190430,11330.440430,11335.320313,11335.320313,83807700
2018-12-05,11204.320313,11266.280273,11177.150391,11200.240234,11200.240234,73386400
2018-12-06,11053.580078,11063.440430,10762.410156,10810.980469,10810.980469,132009900
2018-12-07,10876.339844,10927.370117,10788.089844,10788.089844,10788.089844,100383400
2018-12-10,10726.169922,10757.730469,10585.769531,10622.070313,10622.070313,119543200
2018-12-11,10711.400391,10884.620117,10684.620117,10780.509766,10780.509766,101814600
2018-12-12,10832.040039,10971.120117,10815.509766,10929.429688,10929.429688,103230400
2018-12-13,10978.679688,10988.769531,10887.259766,10924.700195,10924.700195,87998300
2018-12-14,10809.580078,10903.389648,10733.750000,10865.769531,10865.769531,81422700
2018-12-17,10852.990234,10886.799805,10700.620117,10772.200195,10772.200195,85598700
2018-12-18,10744.280273,10841.419922,10714.969727,10740.889648,10740.889648,96287600
2018-12-19,10777.419922,10831.440430,10749.549805,10766.209961,10766.209961,96506200
2018-12-20,10621.179688,10686.370117,10563.440430,10611.099609,10611.099609,122450600
2018-12-21,10573.080078,10654.660156,10512.639648,10633.820313,10633.820313,216162200
2018-12-27,10607.419922,10635.450195,10279.200195,10381.509766,10381.509766,104152600
2018-12-28,10452.019531,10586.799805,10431.379883,10558.959961,10558.959961,52604300
2019-01-02,10477.769531,10612.719727,10386.969727,10580.190430,10580.190430,79626700
2019-01-03,10467.110352,10538.660156,10400.110352,10416.660156,10416.660156,84733800
2019-01-04,10533.940430,10786.339844,10483.900391,10767.690430,10767.690430,95339500
2019-01-07,10814.389648,10814.469727,10681.269531,10747.809570,10747.809570,71151400
2019-01-08,10750.190430,10910.709961,10745.030273,10803.980469,10803.980469,93672200
2019-01-09,10884.750000,10961.919922,10839.089844,10893.320313,10893.320313,96071900
2019-01-10,10843.889648,10927.129883,10788.049805,10921.589844,10921.589844,77255600
2019-01-11,10949.129883,10959.000000,10829.919922,10887.459961,10887.459961,75537200
2019-01-14,10820.849609,10886.230469,10786.750000,10855.910156,10855.910156,65945800
2019-01-15,10962.950195,10994.830078,10812.589844,10891.790039,10891.790039,80197500
2019-01-16,10940.360352,10947.870117,10866.389648,10931.240234,10931.240234,79810600
2019-01-17,10852.500000,10929.299805,10822.250000,10918.620117,10918.620117,79327000
2019-01-18,11001.309570,11216.820313,10993.830078,11205.540039,11205.540039,119133600
2019-01-21,11176.120117,11179.910156,11125.530273,11136.200195,11136.200195,65955200
2019-01-22,11076.980469,11142.219727,11034.549805,11090.110352,11090.110352,73446100
2019-01-23,11043.639648,11135.750000,11007.209961,11071.540039,11071.540039,87752900
2019-01-24,11045.639648,11149.320313,11032.530273,11130.179688,11130.179688,110548100
2019-01-25,11234.049805,11321.620117,11218.349609,11281.790039,11281.790039,99999800
2019-01-28,11233.160156,11275.209961,11196.419922,11210.309570,11210.309570,73121100
2019-01-29,11191.519531,11276.280273,11159.169922,11218.830078,11218.830078,75129000
2019-01-30,11210.679688,11215.209961,11132.379883,11181.660156,11181.660156,73630500
2019-01-31,11257.919922,11311.370117,11051.110352,11173.099609,11173.099609,111945200
2019-02-01,11198.459961,11218.509766,11116.080078,11180.660156,11180.660156,101700800
2019-02-04,11180.419922,11209.309570,11100.339844,11176.580078,11176.580078,74165400
2019-02-05,11178.750000,11371.740234,11177.700195,11367.980469,11367.980469,89418800
2019-02-06,11337.540039,11347.940430,11297.419922,11324.719727,11324.719727,75894800
